title,company,scraped_at
Asset & Wealth Management - Data Engineer - Vice President - New York,Goldman Sachs,2026-05-16T10:15:04.946938
SQL Data Engineer,Intone Networks,2026-05-16T10:15:04.969724
"Data Engineer I (AWS, Python, SQL)","The Travelers Companies, Inc.",2026-05-16T10:15:05.010142
"Data Engineer I (AWS, Python, SQL)","The Travelers Companies, Inc.",2026-05-16T10:15:05.040011
"Senior Data Engineer (AWS, Databricks, Python)","The Travelers Companies, Inc.",2026-05-16T10:15:05.086674
Sr. Data Engineer,SHI International Corporation,2026-05-16T10:15:05.105886
Software Engineer 3 (Data Management),Cornerstone Defense,2026-05-16T10:15:05.120977
Software Engineer 2 (Data Transformation & Analytics),Cornerstone Defense,2026-05-16T10:15:05.135557
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:15:05.152820
Data Engineer – Corporate Technology Data Engineering & Analytics,MassMutual,2026-05-16T10:15:05.165868
"Staff Software Engineer, Data Infrastructure",Peregrine Technologies,2026-05-16T10:15:05.179921
Scientific Data Services Engineer – AI & HPC,Argonne National Laboratory,2026-05-16T10:15:05.193033
"Engineer I, Data Platforms",AARP,2026-05-16T10:15:05.209959
Sr. Data Engineer,MFS Investment Management,2026-05-16T10:15:05.225866
Lead Cloud Data Engineer,The Mutual Group,2026-05-16T10:15:05.242363
"Senior Software Engineer, Data Platform",Genius Sports Group,2026-05-16T10:15:05.256590
