title,company,scraped_at
Asset & Wealth Management - Data Engineer - Vice President - New York,Goldman Sachs,2026-05-16T10:40:11.765930
SQL Data Engineer,Intone Networks,2026-05-16T10:40:11.914658
"Data Engineer I (AWS, Python, SQL)","The Travelers Companies, Inc.",2026-05-16T10:40:11.940476
Sr. Data Engineer,SHI International Corporation,2026-05-16T10:40:11.959933
Software Engineer 3 (Data Management),Cornerstone Defense,2026-05-16T10:40:12.000408
Software Engineer 2 (Data Transformation & Analytics),Cornerstone Defense,2026-05-16T10:40:12.020710
"Senior Data Engineer - Fort Gordon, Georgia (APOGEE)",Celestar Corporation,2026-05-16T10:40:12.098313
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:40:12.161963
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:40:12.188062
Data Engineer – Corporate Technology Data Engineering & Analytics,MassMutual,2026-05-16T10:40:12.241789
"Staff Software Engineer, Data Infrastructure",Peregrine Technologies,2026-05-16T10:40:12.312660
Scientific Data Services Engineer – AI & HPC,Argonne National Laboratory,2026-05-16T10:40:12.358319
"Engineer I, Data Platforms",AARP,2026-05-16T10:40:13.197671
Sr. Data Engineer,MFS Investment Management,2026-05-16T10:40:13.275554
"Senior Software Engineer, Data Platform",Genius Sports Group,2026-05-16T10:40:13.306815
Senior Data and Software Engineer (10_2025.4),Affinity Solutions,2026-05-16T10:40:13.325000
