title,company,scraped_at
Asset & Wealth Management - Data Engineer - Vice President - New York,Goldman Sachs,2026-05-16T10:48:37.456841
SQL Data Engineer,Intone Networks,2026-05-16T10:48:37.505245
"Data Engineer I (AWS, Python, SQL)","The Travelers Companies, Inc.",2026-05-16T10:48:37.538137
Sr. Data Engineer,SHI International Corporation,2026-05-16T10:48:37.588674
Software Engineer 3 (Data Management),Cornerstone Defense,2026-05-16T10:48:37.617452
Software Engineer 2 (Data Transformation & Analytics),Cornerstone Defense,2026-05-16T10:48:37.660655
"Senior Data Engineer - Fort Gordon, Georgia (APOGEE)",Celestar Corporation,2026-05-16T10:48:37.886496
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:48:38.053479
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:48:38.251923
Data Engineer – Corporate Technology Data Engineering & Analytics,MassMutual,2026-05-16T10:48:38.448559
"Staff Software Engineer, Data Infrastructure",Peregrine Technologies,2026-05-16T10:48:38.497628
Scientific Data Services Engineer – AI & HPC,Argonne National Laboratory,2026-05-16T10:48:38.526379
"Engineer I, Data Platforms",AARP,2026-05-16T10:48:38.553758
Sr. Data Engineer,MFS Investment Management,2026-05-16T10:48:38.609993
"Senior Software Engineer, Data Platform",Genius Sports Group,2026-05-16T10:48:38.660233
Senior Data and Software Engineer (10_2025.4),Affinity Solutions,2026-05-16T10:48:38.742033
