title,company,scraped_at
Asset & Wealth Management - Data Engineer - Vice President - New York,Goldman Sachs,2026-05-16T10:28:32.102421
SQL Data Engineer,Intone Networks,2026-05-16T10:28:32.121582
"Data Engineer I (AWS, Python, SQL)","The Travelers Companies, Inc.",2026-05-16T10:28:32.135637
"Senior Data Engineer (AWS, Databricks, Python)","The Travelers Companies, Inc.",2026-05-16T10:28:32.159276
Sr. Data Engineer,SHI International Corporation,2026-05-16T10:28:32.176446
Software Engineer 3 (Data Management),Cornerstone Defense,2026-05-16T10:28:32.194651
Software Engineer 2 (Data Transformation & Analytics),Cornerstone Defense,2026-05-16T10:28:32.212941
"Senior Data Engineer - Fort Gordon, Georgia (APOGEE)",Celestar Corporation,2026-05-16T10:28:32.227153
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:28:32.239268
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:28:32.251314
Data Engineer – Corporate Technology Data Engineering & Analytics,MassMutual,2026-05-16T10:28:32.263665
"Staff Software Engineer, Data Infrastructure",Peregrine Technologies,2026-05-16T10:28:32.276295
Scientific Data Services Engineer – AI & HPC,Argonne National Laboratory,2026-05-16T10:28:32.289602
"Engineer I, Data Platforms",AARP,2026-05-16T10:28:32.301247
Sr. Data Engineer,MFS Investment Management,2026-05-16T10:28:32.313798
"Senior Software Engineer, Data Platform",Genius Sports Group,2026-05-16T10:28:32.326376
