title,company,scraped_at
Asset & Wealth Management - Data Engineer - Vice President - New York,Goldman Sachs,2026-05-16T10:40:46.957286
SQL Data Engineer,Intone Networks,2026-05-16T10:40:46.987815
"Data Engineer I (AWS, Python, SQL)","The Travelers Companies, Inc.",2026-05-16T10:40:47.013778
Sr. Data Engineer,SHI International Corporation,2026-05-16T10:40:47.035991
Software Engineer 3 (Data Management),Cornerstone Defense,2026-05-16T10:40:47.058386
Software Engineer 2 (Data Transformation & Analytics),Cornerstone Defense,2026-05-16T10:40:47.076265
Senior Software Engineer - Data Lake Engineering,WEX Inc.,2026-05-16T10:40:47.095653
Data Engineer – Corporate Technology Data Engineering & Analytics,MassMutual,2026-05-16T10:40:47.115893
"Staff Software Engineer, Data Infrastructure",Peregrine Technologies,2026-05-16T10:40:47.143570
Scientific Data Services Engineer – AI & HPC,Argonne National Laboratory,2026-05-16T10:40:47.166193
"Engineer I, Data Platforms",AARP,2026-05-16T10:40:47.195043
Sr. Data Engineer,MFS Investment Management,2026-05-16T10:40:47.224093
"Senior Software Engineer, Data Platform",Genius Sports Group,2026-05-16T10:40:47.251893
"Senior Software Engineer, Data Platform",Genius Sports Group,2026-05-16T10:40:47.271066
Senior Data and Software Engineer (10_2025.4),Affinity Solutions,2026-05-16T10:40:47.291711
Senior Data and Software Engineer (Integrations) (36_2026.1),Affinity Solutions,2026-05-16T10:40:47.316620
